"sample_id","waterLevel","region","populations"
"Bui1H","high","Central_Spain","Buitrago"
"Bui2H","high","Central_Spain","Buitrago"
"Bui3H","high","Central_Spain","Buitrago"
"Bui4H","high","Central_Spain","Buitrago"
"Bui1L","low","Central_Spain","Buitrago"
"Bui2L","low","Central_Spain","Buitrago"
"Bui3L","low","Central_Spain","Buitrago"
"Bui4L","low","Central_Spain","Buitrago"
"Can1H","high","Central_Spain","Canencia"
"Can2H","high","Central_Spain","Canencia"
"Can3H","high","Central_Spain","Canencia"
"Can4H","high","Central_Spain","Canencia"
"Can1L","low","Central_Spain","Canencia"
"Can2L","low","Central_Spain","Canencia"
"Can3L","low","Central_Spain","Canencia"
"Can4L","low","Central_Spain","Canencia"
"Tur1H","high","Central_Spain","Turrubuelo"
"Tur2H","high","Central_Spain","Turrubuelo"
"Tur3H","high","Central_Spain","Turrubuelo"
"Tur4H","high","Central_Spain","Turrubuelo"
"Tur1L","low","Central_Spain","Turrubuelo"
"Tur2L","low","Central_Spain","Turrubuelo"
"Tur3L","low","Central_Spain","Turrubuelo"
"Tur4L","low","Central_Spain","Turrubuelo"
"Esp1H","high","Southern_Spain","Espajosas"
"Esp2H","high","Southern_Spain","Espajosas"
"Esp3H","high","Southern_Spain","Espajosas"
"Esp4H","high","Southern_Spain","Espajosas"
"Esp1L","low","Southern_Spain","Espajosas"
"Esp2L","low","Southern_Spain","Espajosas"
"Esp3L","low","Southern_Spain","Espajosas"
"Esp4L","low","Southern_Spain","Espajosas"
"Jab1H","high","Southern_Spain","Jabata"
"Jab2H","high","Southern_Spain","Jabata"
"Jab3H","high","Southern_Spain","Jabata"
"Jab4H","high","Southern_Spain","Jabata"
"Jab1L","low","Southern_Spain","Jabata"
"Jab2L","low","Southern_Spain","Jabata"
"Jab3L","low","Southern_Spain","Jabata"
"Jab4L","low","Southern_Spain","Jabata"
"Lla1H","high","Southern_Spain","Llano"
"Lla2H","high","Southern_Spain","Llano"
"Lla3H","high","Southern_Spain","Llano"
"Lla4H","high","Southern_Spain","Llano"
"Lla1L","low","Southern_Spain","Llano"
"Lla2L","low","Southern_Spain","Llano"
"Lla3L","low","Southern_Spain","Llano"
"Lla4L","low","Southern_Spain","Llano"
